city_name,hotel_name,address,rating,rating_count,latitude,longitude
Mont Saint Michel,Hôtel La Confiance,"2 Escalier de la Poste, 50170 Le Mont-Saint-Michel, France",3.4,658.0,48.6351783,-1.5104259
Mont Saint Michel,Hôtel Vert,"8 Rte du Mont Saint-Michel, 50170 Le Mont-Saint-Michel, France",4.0,1397.0,48.6147297,-1.5093547999999999
Mont Saint Michel,Hôtel du Guesclin,"Grande Rue, 50170 Le Mont-Saint-Michel, France",4.3,921.0,48.6356332,-1.5098334999999998
Mont Saint Michel,B&B HOTEL Avranches Baie du Mont Saint-Michel,"Parc de la Baie, 50300 Le Val-Saint-Père, France",4.0,2765.0,48.6550197,-1.3537564
Mont Saint Michel,Hôtel Gabriel - Hôtel Mont Saint Michel,"Route du Mont Saint-Michel, La Caserne, 50170 Le Mont-Saint-Michel, France",4.0,880.0,48.6154819,-1.5108623
Mont Saint Michel,ibis Pontorson Baie du Mont-Saint-Michel,"ZA Le Point du Jour, 35610 Saint-Georges-de-Gréhaigne, France",4.2,2225.0,48.5681155,-1.542957
Mont Saint Michel,Hôtel Mercure Mont-Saint-Michel,"Rte du Mont Saint-Michel Bp 8, 50170 Le Mont-Saint-Michel, France",4.2,2326.0,48.614335,-1.5106802
Mont Saint Michel,"L'Etape du Mont,","21 Rue Général Patton, 50170 Pontorson, France",4.8,155.0,48.5566472,-1.5111843999999999
Mont Saint Michel,"The Originals Boutique, Hôtel Les Quatre Salines, Le Mont Saint-Michel Sud","3 Les Quatre Salines, 35610 Roz-sur-Couesnon, France",4.0,697.0,48.595193,-1.589953
Mont Saint Michel,L'Ermitage Mont Saint Michel,"14 Rte du Mont Saint-Michel, 50170 Beauvoir, France",4.7,259.0,48.5944657,-1.5113801
Mont Saint Michel,"le Clos Saint-Gilles, Ardevon","2 Rte de Saint-Gilles Ardevon, 50170 Pontorson, France",5.0,196.0,48.5907663,-1.46616
Mont Saint Michel,Auberge La Mère Poulard,"Grande Rue, 50170 Le Mont-Saint-Michel, France",3.8,9144.0,48.6351095,-1.5108914
Mont Saint Michel,Au P'tit Mont,"5 Rte de Saint-Gilles Ardevon, 50170 Pontorson, France",4.8,72.0,48.5911532,-1.4661925
